Tabela,Data,Kurs,Zmiana
31/A/NBP/2009,2009-02-13,3.5949,0.53
30/A/NBP/2009,2009-02-12,3.5761,2.22
29/A/NBP/2009,2009-02-11,3.4983,0.95
28/A/NBP/2009,2009-02-10,3.4653,-1.46
27/A/NBP/2009,2009-02-09,3.5165,-1.12
26/A/NBP/2009,2009-02-06,3.5564,-1.52
25/A/NBP/2009,2009-02-05,3.6112,0.12
24/A/NBP/2009,2009-02-04,3.607,2.38
23/A/NBP/2009,2009-02-03,3.523,1.15
22/A/NBP/2009,2009-02-02,3.4828,0.77
21/A/NBP/2009,2009-01-30,3.4561,2.7
20/A/NBP/2009,2009-01-29,3.3653,2
19/A/NBP/2009,2009-01-28,3.2992,1.36
18/A/NBP/2009,2009-01-27,3.2549,-4.02
17/A/NBP/2009,2009-01-26,3.3911,-1.36
16/A/NBP/2009,2009-01-23,3.438,4.11
15/A/NBP/2009,2009-01-22,3.3024,-1.33
14/A/NBP/2009,2009-01-21,3.3468,0.26
13/A/NBP/2009,2009-01-20,3.3381,2.8
12/A/NBP/2009,2009-01-19,3.2473,3.57
11/A/NBP/2009,2009-01-16,3.1353,-2.36
10/A/NBP/2009,2009-01-15,3.211,2.6
9/A/NBP/2009,2009-01-14,3.1296,0.43
8/A/NBP/2009,2009-01-13,3.1162,3.24
7/A/NBP/2009,2009-01-12,3.0183,2.14
6/A/NBP/2009,2009-01-09,2.9551,-0.03
5/A/NBP/2009,2009-01-08,2.9561,2.49
4/A/NBP/2009,2009-01-07,2.8844,-4.53
3/A/NBP/2009,2009-01-06,3.0214,0.42
2/A/NBP/2009,2009-01-05,3.0088,0.6
1/A/NBP/2009,2009-01-02,2.991,0.99
254/A/NBP/2008,2008-12-31,2.9618,1.88
253/A/NBP/2008,2008-12-30,2.9072,-0.75
252/A/NBP/2008,2008-12-29,2.9293,-0.07
251/A/NBP/2008,2008-12-24,2.9313,-0.55
250/A/NBP/2008,2008-12-23,2.9476,1.36
249/A/NBP/2008,2008-12-22,2.9081,-0.17
248/A/NBP/2008,2008-12-19,2.913,2.34
247/A/NBP/2008,2008-12-18,2.8463,-1.68
246/A/NBP/2008,2008-12-17,2.8948,-2.48
245/A/NBP/2008,2008-12-16,2.9683,0.41
244/A/NBP/2008,2008-12-15,2.9561,-0.5
243/A/NBP/2008,2008-12-12,2.9709,-1.81
242/A/NBP/2008,2008-12-11,3.0257,-1.15
241/A/NBP/2008,2008-12-10,3.061,0.2
240/A/NBP/2008,2008-12-09,3.0548,1.71
239/A/NBP/2008,2008-12-08,3.0035,-1.45
238/A/NBP/2008,2008-12-05,3.0476,-1.07
237/A/NBP/2008,2008-12-04,3.0805,1.11
236/A/NBP/2008,2008-12-03,3.0468,0.24
235/A/NBP/2008,2008-12-02,3.0394,0.18
234/A/NBP/2008,2008-12-01,3.0338,3.91
233/A/NBP/2008,2008-11-28,2.9196,0.51
232/A/NBP/2008,2008-11-27,2.9047,-0.51
231/A/NBP/2008,2008-11-26,2.9197,-2.32
230/A/NBP/2008,2008-11-25,2.9891,-2.83
229/A/NBP/2008,2008-11-24,3.0762,2.03
228/A/NBP/2008,2008-11-21,3.0151,-2.25
227/A/NBP/2008,2008-11-20,3.0845,1.12
226/A/NBP/2008,2008-11-19,3.0502,-0.53
225/A/NBP/2008,2008-11-18,3.0665,4.21
224/A/NBP/2008,2008-11-17,2.9426,-0.11
223/A/NBP/2008,2008-11-14,2.9457,-1.95
222/A/NBP/2008,2008-11-13,3.0042,-0.08
221/A/NBP/2008,2008-11-12,3.0065,6.12
220/A/NBP/2008,2008-11-10,2.8332,-0.34
219/A/NBP/2008,2008-11-07,2.8428,3.11
218/A/NBP/2008,2008-11-06,2.7571,0.97
217/A/NBP/2008,2008-11-05,2.7306,-2.29
216/A/NBP/2008,2008-11-04,2.7946,0.88
215/A/NBP/2008,2008-11-03,2.7703,-2.7
214/A/NBP/2008,2008-10-31,2.8472,4.29
213/A/NBP/2008,2008-10-30,2.73,-4.06
212/A/NBP/2008,2008-10-29,2.8454,-4.24
211/A/NBP/2008,2008-10-28,2.9714,-3.6
210/A/NBP/2008,2008-10-27,3.0823,-1.53
209/A/NBP/2008,2008-10-24,3.1303,5.09
208/A/NBP/2008,2008-10-23,2.9788,3.39
207/A/NBP/2008,2008-10-22,2.8812,5.93
206/A/NBP/2008,2008-10-21,2.7199,3.21
205/A/NBP/2008,2008-10-20,2.6354,-0.58
204/A/NBP/2008,2008-10-17,2.6509,0.47
203/A/NBP/2008,2008-10-16,2.6385,1.49
202/A/NBP/2008,2008-10-15,2.5998,1.35
201/A/NBP/2008,2008-10-14,2.5652,-1.45
200/A/NBP/2008,2008-10-13,2.6029,-0.33
199/A/NBP/2008,2008-10-10,2.6115,5.15
198/A/NBP/2008,2008-10-09,2.4835,-3.17
197/A/NBP/2008,2008-10-08,2.5648,0.77
196/A/NBP/2008,2008-10-07,2.5451,0.63
195/A/NBP/2008,2008-10-06,2.5291,2.49
194/A/NBP/2008,2008-10-03,2.4676,0.84
193/A/NBP/2008,2008-10-02,2.447,2.41
192/A/NBP/2008,2008-10-01,2.3895,0.79
191/A/NBP/2008,2008-09-30,2.3708,0.28
190/A/NBP/2008,2008-09-29,2.3641,2.85
189/A/NBP/2008,2008-09-26,2.2985,1.42
188/A/NBP/2008,2008-09-25,2.2663,0.59
187/A/NBP/2008,2008-09-24,2.2531,0.17
186/A/NBP/2008,2008-09-23,2.2492,0.05
185/A/NBP/2008,2008-09-22,2.248,-3.85
184/A/NBP/2008,2008-09-19,2.3381,-0.2
183/A/NBP/2008,2008-09-18,2.3428,-0.19
182/A/NBP/2008,2008-09-17,2.3472,-1.22
181/A/NBP/2008,2008-09-16,2.3763,0.73
180/A/NBP/2008,2008-09-15,2.3591,-0.85
179/A/NBP/2008,2008-09-12,2.3793,-2.91
178/A/NBP/2008,2008-09-11,2.4505,0.02
177/A/NBP/2008,2008-09-10,2.45,-0.05
176/A/NBP/2008,2008-09-09,2.4513,0.78
175/A/NBP/2008,2008-09-08,2.4324,0.95
174/A/NBP/2008,2008-09-05,2.4094,3.57
173/A/NBP/2008,2008-09-04,2.3263,-0.42
172/A/NBP/2008,2008-09-03,2.336,0.98
171/A/NBP/2008,2008-09-02,2.3133,1.51
170/A/NBP/2008,2008-09-01,2.279,0.44
169/A/NBP/2008,2008-08-29,2.2691,0.01
168/A/NBP/2008,2008-08-28,2.2688,0.37
167/A/NBP/2008,2008-08-27,2.2605,-0.3
166/A/NBP/2008,2008-08-26,2.2674,0.91
165/A/NBP/2008,2008-08-25,2.247,1.03
164/A/NBP/2008,2008-08-22,2.224,-0.85
163/A/NBP/2008,2008-08-21,2.243,0.01
162/A/NBP/2008,2008-08-20,2.2427,-1.39
161/A/NBP/2008,2008-08-19,2.2744,0.53
160/A/NBP/2008,2008-08-18,2.2625,1.76
159/A/NBP/2008,2008-08-14,2.2233,1.45
158/A/NBP/2008,2008-08-13,2.1915,-0.74
157/A/NBP/2008,2008-08-12,2.2078,2.12
156/A/NBP/2008,2008-08-11,2.162,0.58
155/A/NBP/2008,2008-08-08,2.1495,2.48
154/A/NBP/2008,2008-08-07,2.0975,0.48
153/A/NBP/2008,2008-08-06,2.0875,0.47
152/A/NBP/2008,2008-08-05,2.0777,0.86
151/A/NBP/2008,2008-08-04,2.06,-0.31
150/A/NBP/2008,2008-08-01,2.0665,0.76
149/A/NBP/2008,2008-07-31,2.0509,-0.15
148/A/NBP/2008,2008-07-30,2.0539,0.22
147/A/NBP/2008,2008-07-29,2.0494,0.46
146/A/NBP/2008,2008-07-28,2.04,-0.1
145/A/NBP/2008,2008-07-25,2.042,-1.14
144/A/NBP/2008,2008-07-24,2.0655,-0.31
143/A/NBP/2008,2008-07-23,2.072,2.4
142/A/NBP/2008,2008-07-22,2.0235,0.07
141/A/NBP/2008,2008-07-21,2.022,-0.44
140/A/NBP/2008,2008-07-18,2.0309,-0.11
139/A/NBP/2008,2008-07-17,2.0331,0.27
138/A/NBP/2008,2008-07-16,2.0276,-0.63
137/A/NBP/2008,2008-07-15,2.0405,-0.6
136/A/NBP/2008,2008-07-14,2.0529,-0.87
135/A/NBP/2008,2008-07-11,2.071,-0.64
134/A/NBP/2008,2008-07-10,2.0843,-0.54
133/A/NBP/2008,2008-07-09,2.0956,-0.28
132/A/NBP/2008,2008-07-08,2.1015,-0.84
131/A/NBP/2008,2008-07-07,2.1193,-0.03
130/A/NBP/2008,2008-07-04,2.1199,0.28
129/A/NBP/2008,2008-07-03,2.114,-0.39
128/A/NBP/2008,2008-07-02,2.1222,-0.33
127/A/NBP/2008,2008-07-01,2.1293,0.47
126/A/NBP/2008,2008-06-30,2.1194,-0.81
125/A/NBP/2008,2008-06-27,2.1366,-0.25
124/A/NBP/2008,2008-06-26,2.142,-0.55
123/A/NBP/2008,2008-06-25,2.1538,-0.31
122/A/NBP/2008,2008-06-24,2.1605,-0.35
121/A/NBP/2008,2008-06-23,2.1681,0.26
120/A/NBP/2008,2008-06-20,2.1625,-0.49
119/A/NBP/2008,2008-06-19,2.1731,-0.34
118/A/NBP/2008,2008-06-18,2.1805,-0.14
117/A/NBP/2008,2008-06-17,2.1835,-0.48
116/A/NBP/2008,2008-06-16,2.1941,-0.43
115/A/NBP/2008,2008-06-13,2.2035,0.43
114/A/NBP/2008,2008-06-12,2.1941,0.71
113/A/NBP/2008,2008-06-11,2.1787,0.15
112/A/NBP/2008,2008-06-10,2.1755,1.44
111/A/NBP/2008,2008-06-09,2.1447,-1.29
110/A/NBP/2008,2008-06-06,2.1727,-0.54
109/A/NBP/2008,2008-06-05,2.1845,0.01
108/A/NBP/2008,2008-06-04,2.1843,1.07
107/A/NBP/2008,2008-06-03,2.1611,-0.64
106/A/NBP/2008,2008-06-02,2.175,-0.34
105/A/NBP/2008,2008-05-30,2.1824,0.44
104/A/NBP/2008,2008-05-29,2.1728,0.55
103/A/NBP/2008,2008-05-28,2.161,0.15
102/A/NBP/2008,2008-05-27,2.1578,-0.21
101/A/NBP/2008,2008-05-26,2.1623,-0.24
100/A/NBP/2008,2008-05-23,2.1675,0.71
99/A/NBP/2008,2008-05-21,2.1522,-1.08
98/A/NBP/2008,2008-05-20,2.1758,0.5
97/A/NBP/2008,2008-05-19,2.165,-0.97
96/A/NBP/2008,2008-05-16,2.1861,-0.24
95/A/NBP/2008,2008-05-15,2.1913,-0.44
94/A/NBP/2008,2008-05-14,2.201,0.68
93/A/NBP/2008,2008-05-13,2.1861,-0.61
92/A/NBP/2008,2008-05-12,2.1995,-0.05
91/A/NBP/2008,2008-05-09,2.2006,-1.33
90/A/NBP/2008,2008-05-08,2.2303,0.73
89/A/NBP/2008,2008-05-07,2.2142,-0.27
88/A/NBP/2008,2008-05-06,2.2203,0.02
87/A/NBP/2008,2008-05-05,2.2199,-0.41
86/A/NBP/2008,2008-05-02,2.2291,0.11
85/A/NBP/2008,2008-04-30,2.2267,0.69
84/A/NBP/2008,2008-04-29,2.2115,0.51
83/A/NBP/2008,2008-04-28,2.2002,-0.19
82/A/NBP/2008,2008-04-25,2.2044,1.59
81/A/NBP/2008,2008-04-24,2.17,1.69
80/A/NBP/2008,2008-04-23,2.134,-0.48
79/A/NBP/2008,2008-04-22,2.1444,-0.7
78/A/NBP/2008,2008-04-21,2.1596,0.45
77/A/NBP/2008,2008-04-18,2.1499,-0.01
76/A/NBP/2008,2008-04-17,2.1502,-0.04
75/A/NBP/2008,2008-04-16,2.151,0.05
74/A/NBP/2008,2008-04-15,2.15,-1.06
73/A/NBP/2008,2008-04-14,2.173,0.6
72/A/NBP/2008,2008-04-11,2.16,-0.71
71/A/NBP/2008,2008-04-10,2.1755,-1.1
70/A/NBP/2008,2008-04-09,2.1997,-0.1
69/A/NBP/2008,2008-04-08,2.2018,-0.3
68/A/NBP/2008,2008-04-07,2.2084,-0.41
67/A/NBP/2008,2008-04-04,2.2175,-0.63
66/A/NBP/2008,2008-04-03,2.2315,-0.16
65/A/NBP/2008,2008-04-02,2.235,-0.18
64/A/NBP/2008,2008-04-01,2.239,0.38
63/A/NBP/2008,2008-03-31,2.2305,-0.26
62/A/NBP/2008,2008-03-28,2.2363,0.03
61/A/NBP/2008,2008-03-27,2.2356,-0.59
60/A/NBP/2008,2008-03-26,2.2489,-0.88
59/A/NBP/2008,2008-03-25,2.2688,-0.85
58/A/NBP/2008,2008-03-21,2.2882,0.18
57/A/NBP/2008,2008-03-20,2.2841,1.78
56/A/NBP/2008,2008-03-19,2.2442,0.01
55/A/NBP/2008,2008-03-18,2.244,-0.53
54/A/NBP/2008,2008-03-17,2.256,-0.46
53/A/NBP/2008,2008-03-14,2.2664,-0.34
52/A/NBP/2008,2008-03-13,2.2741,-0.76
51/A/NBP/2008,2008-03-12,2.2915,-0.49
50/A/NBP/2008,2008-03-11,2.3028,-0.8
49/A/NBP/2008,2008-03-10,2.3213,0.1
48/A/NBP/2008,2008-03-07,2.3189,0.49
47/A/NBP/2008,2008-03-06,2.3075,-0.77
46/A/NBP/2008,2008-03-05,2.3255,0.36
45/A/NBP/2008,2008-03-04,2.3171,-0.57
44/A/NBP/2008,2008-03-03,2.3305,0.65
43/A/NBP/2008,2008-02-29,2.3155,-0.71
42/A/NBP/2008,2008-02-28,2.332,-0.8
41/A/NBP/2008,2008-02-27,2.3507,-1.17
40/A/NBP/2008,2008-02-26,2.3785,-1.1
39/A/NBP/2008,2008-02-25,2.4049,-0.1
38/A/NBP/2008,2008-02-22,2.4074,-0.75
37/A/NBP/2008,2008-02-21,2.4255,-0.36
36/A/NBP/2008,2008-02-20,2.4342,0.21
35/A/NBP/2008,2008-02-19,2.429,-0.7
34/A/NBP/2008,2008-02-18,2.4461,0.03
33/A/NBP/2008,2008-02-15,2.4453,-0.37
32/A/NBP/2008,2008-02-14,2.4543,-0.64
31/A/NBP/2008,2008-02-13,2.47,-0.78
30/A/NBP/2008,2008-02-12,2.4895,-0.04
29/A/NBP/2008,2008-02-11,2.4906,-0.26
28/A/NBP/2008,2008-02-08,2.4971,1.64
27/A/NBP/2008,2008-02-07,2.4568,-0.05
26/A/NBP/2008,2008-02-06,2.458,1.23
25/A/NBP/2008,2008-02-05,2.4281,0.83
24/A/NBP/2008,2008-02-04,2.4082,-0.55
23/A/NBP/2008,2008-02-01,2.4215,-0.91
22/A/NBP/2008,2008-01-31,2.4438,-0.27
21/A/NBP/2008,2008-01-30,2.4503,0.01
20/A/NBP/2008,2008-01-29,2.4501,-0.66
19/A/NBP/2008,2008-01-28,2.4665,0.5
18/A/NBP/2008,2008-01-25,2.4542,-0.98
17/A/NBP/2008,2008-01-24,2.4784,-0.31
16/A/NBP/2008,2008-01-23,2.4861,-1.59
15/A/NBP/2008,2008-01-22,2.5263,0.6
14/A/NBP/2008,2008-01-21,2.5112,1.33
13/A/NBP/2008,2008-01-18,2.4782,0.72
12/A/NBP/2008,2008-01-17,2.4606,1.38
11/A/NBP/2008,2008-01-16,2.4272,0.91
10/A/NBP/2008,2008-01-15,2.4052,-0.01
9/A/NBP/2008,2008-01-14,2.4055,-0.68
8/A/NBP/2008,2008-01-11,2.422,-0.94
7/A/NBP/2008,2008-01-10,2.445,0.09
6/A/NBP/2008,2008-01-09,2.4429,-0.14
5/A/NBP/2008,2008-01-08,2.4463,-0.2
4/A/NBP/2008,2008-01-07,2.4511,-0.07
3/A/NBP/2008,2008-01-04,2.4529,-0.09
2/A/NBP/2008,2008-01-03,2.455,0
1/A/NBP/2008,2008-01-02,2.455,0.82
252/A/NBP/2007,2007-12-31,2.435,-0.88
251/A/NBP/2007,2007-12-28,2.4566,-1.54
250/A/NBP/2007,2007-12-27,2.4949,-0.6
249/A/NBP/2007,2007-12-24,2.51,-0.27
248/A/NBP/2007,2007-12-21,2.5168,-0.29
247/A/NBP/2007,2007-12-20,2.5242,0.51
246/A/NBP/2007,2007-12-19,2.5115,-0.07
245/A/NBP/2007,2007-12-18,2.5133,-0.41
244/A/NBP/2007,2007-12-17,2.5237,1.98
243/A/NBP/2007,2007-12-14,2.4747,1.53
242/A/NBP/2007,2007-12-13,2.4373,0.06
241/A/NBP/2007,2007-12-12,2.4359,0.41
240/A/NBP/2007,2007-12-11,2.426,-0.48
239/A/NBP/2007,2007-12-10,2.4378,-0.6
238/A/NBP/2007,2007-12-07,2.4525,-0.24
237/A/NBP/2007,2007-12-06,2.4585,0.35
236/A/NBP/2007,2007-12-05,2.4499,-0.71
235/A/NBP/2007,2007-12-04,2.4675,-0.22
234/A/NBP/2007,2007-12-03,2.473,0.57
233/A/NBP/2007,2007-11-30,2.4589,-0.53
232/A/NBP/2007,2007-11-29,2.472,-0.53
231/A/NBP/2007,2007-11-28,2.4851,-0.1
230/A/NBP/2007,2007-11-27,2.4876,0.61
229/A/NBP/2007,2007-11-26,2.4725,-0.53
228/A/NBP/2007,2007-11-23,2.4857,0.01
227/A/NBP/2007,2007-11-22,2.4855,-0.19
226/A/NBP/2007,2007-11-21,2.4902,-0.12
225/A/NBP/2007,2007-11-20,2.4933,-0.49
224/A/NBP/2007,2007-11-19,2.5057,-0.29
223/A/NBP/2007,2007-11-16,2.513,0.41
222/A/NBP/2007,2007-11-15,2.5028,1.12
221/A/NBP/2007,2007-11-14,2.475,-1.02
220/A/NBP/2007,2007-11-13,2.5006,0.28
219/A/NBP/2007,2007-11-12,2.4935,1.28
218/A/NBP/2007,2007-11-09,2.462,-0.84
217/A/NBP/2007,2007-11-08,2.4829,0.64
216/A/NBP/2007,2007-11-07,2.4672,-1.38
215/A/NBP/2007,2007-11-06,2.5018,-0.65
214/A/NBP/2007,2007-11-05,2.5181,-0.01
213/A/NBP/2007,2007-11-02,2.5184,0.12
212/A/NBP/2007,2007-10-31,2.5155,-0.33
211/A/NBP/2007,2007-10-30,2.5238,0.37
210/A/NBP/2007,2007-10-29,2.5145,-0.33
209/A/NBP/2007,2007-10-26,2.5227,-1.16
208/A/NBP/2007,2007-10-25,2.5522,-0.7
207/A/NBP/2007,2007-10-24,2.5702,-0.11
206/A/NBP/2007,2007-10-23,2.573,-0.09
205/A/NBP/2007,2007-10-22,2.5753,-0.03
204/A/NBP/2007,2007-10-19,2.5761,-0.98
203/A/NBP/2007,2007-10-18,2.6016,-0.55
202/A/NBP/2007,2007-10-17,2.616,-0.24
201/A/NBP/2007,2007-10-16,2.6223,0.34
200/A/NBP/2007,2007-10-15,2.6135,-0.57
199/A/NBP/2007,2007-10-12,2.6285,-0.34
198/A/NBP/2007,2007-10-11,2.6375,-0.49
197/A/NBP/2007,2007-10-10,2.6505,-0.92
196/A/NBP/2007,2007-10-09,2.675,0.43
195/A/NBP/2007,2007-10-08,2.6635,-0.17
194/A/NBP/2007,2007-10-05,2.6681,-0.24
193/A/NBP/2007,2007-10-04,2.6745,0.51
192/A/NBP/2007,2007-10-03,2.661,0.25
191/A/NBP/2007,2007-10-02,2.6543,0.23
190/A/NBP/2007,2007-10-01,2.6483,-0.62
189/A/NBP/2007,2007-09-28,2.6647,-0.3
188/A/NBP/2007,2007-09-27,2.6726,-0.13
187/A/NBP/2007,2007-09-26,2.6761,0.07
186/A/NBP/2007,2007-09-25,2.6742,0.25
185/A/NBP/2007,2007-09-24,2.6675,-0.33
184/A/NBP/2007,2007-09-21,2.6763,-0.31
183/A/NBP/2007,2007-09-20,2.6847,-0.6
182/A/NBP/2007,2007-09-19,2.7008,-1.12
181/A/NBP/2007,2007-09-18,2.7315,0.13
180/A/NBP/2007,2007-09-17,2.728,0.1
179/A/NBP/2007,2007-09-14,2.7254,0.47
178/A/NBP/2007,2007-09-13,2.7126,-0.39
177/A/NBP/2007,2007-09-12,2.7233,-1.02
176/A/NBP/2007,2007-09-11,2.7513,-0.38
175/A/NBP/2007,2007-09-10,2.7619,-0.84
174/A/NBP/2007,2007-09-07,2.7853,-0.39
173/A/NBP/2007,2007-09-06,2.7963,-0.51
172/A/NBP/2007,2007-09-05,2.8105,-0.09
171/A/NBP/2007,2007-09-04,2.8131,0.49
170/A/NBP/2007,2007-09-03,2.7995,0.02
169/A/NBP/2007,2007-08-31,2.799,-0.29
168/A/NBP/2007,2007-08-30,2.8072,-0.84
167/A/NBP/2007,2007-08-29,2.831,0.8
166/A/NBP/2007,2007-08-28,2.8084,0.1
165/A/NBP/2007,2007-08-27,2.8055,-0.61
164/A/NBP/2007,2007-08-24,2.8228,-0.22
163/A/NBP/2007,2007-08-23,2.8289,-0.55
162/A/NBP/2007,2007-08-22,2.8446,-0.36
161/A/NBP/2007,2007-08-21,2.855,0.71
160/A/NBP/2007,2007-08-20,2.835,-0.64
159/A/NBP/2007,2007-08-17,2.8533,0.09
158/A/NBP/2007,2007-08-16,2.8507,2.27
157/A/NBP/2007,2007-08-14,2.7873,0.84
156/A/NBP/2007,2007-08-13,2.7641,0.15
155/A/NBP/2007,2007-08-10,2.76,0.8
154/A/NBP/2007,2007-08-09,2.7382,-0.25
153/A/NBP/2007,2007-08-08,2.7451,0
152/A/NBP/2007,2007-08-07,2.745,0.11
151/A/NBP/2007,2007-08-06,2.742,-0.72
150/A/NBP/2007,2007-08-03,2.7619,-0.6
149/A/NBP/2007,2007-08-02,2.7786,-0.55
148/A/NBP/2007,2007-08-01,2.7939,1.03
147/A/NBP/2007,2007-07-31,2.7653,-0.53
146/A/NBP/2007,2007-07-30,2.78,-0.25
145/A/NBP/2007,2007-07-27,2.787,0.43
144/A/NBP/2007,2007-07-26,2.7752,0.75
143/A/NBP/2007,2007-07-25,2.7546,1.26
142/A/NBP/2007,2007-07-24,2.7202,-0.21
141/A/NBP/2007,2007-07-23,2.7258,0.08
140/A/NBP/2007,2007-07-20,2.7236,0.33
139/A/NBP/2007,2007-07-19,2.7146,-0.51
138/A/NBP/2007,2007-07-18,2.7285,0.23
137/A/NBP/2007,2007-07-17,2.7223,0.05
136/A/NBP/2007,2007-07-16,2.721,0.18
135/A/NBP/2007,2007-07-13,2.7161,-0.3
134/A/NBP/2007,2007-07-12,2.7244,-0.8
133/A/NBP/2007,2007-07-11,2.7464,-0.47
132/A/NBP/2007,2007-07-10,2.7595,0.27
131/A/NBP/2007,2007-07-09,2.752,-0.85
130/A/NBP/2007,2007-07-06,2.7755,0.59
129/A/NBP/2007,2007-07-05,2.7593,-0.1
128/A/NBP/2007,2007-07-04,2.7622,-0.01
127/A/NBP/2007,2007-07-03,2.7625,-0.25
126/A/NBP/2007,2007-07-02,2.7695,-1.05
125/A/NBP/2007,2007-06-29,2.7989,-0.3
124/A/NBP/2007,2007-06-28,2.8074,-0.95
123/A/NBP/2007,2007-06-27,2.8343,0.51
122/A/NBP/2007,2007-06-26,2.82,0.14
121/A/NBP/2007,2007-06-25,2.816,-0.24
120/A/NBP/2007,2007-06-22,2.8229,-0.38
119/A/NBP/2007,2007-06-21,2.8338,0.52
118/A/NBP/2007,2007-06-20,2.8191,-0.78
117/A/NBP/2007,2007-06-19,2.8414,0.18
116/A/NBP/2007,2007-06-18,2.8364,-0.91
115/A/NBP/2007,2007-06-15,2.8625,-0.41
114/A/NBP/2007,2007-06-14,2.8744,-0.72
113/A/NBP/2007,2007-06-13,2.8953,0.93
112/A/NBP/2007,2007-06-12,2.8685,-0.21
111/A/NBP/2007,2007-06-11,2.8746,0.05
110/A/NBP/2007,2007-06-08,2.8732,1.68
109/A/NBP/2007,2007-06-06,2.8257,0.33
108/A/NBP/2007,2007-06-05,2.8163,-0.17
107/A/NBP/2007,2007-06-04,2.8212,-0.57
106/A/NBP/2007,2007-06-01,2.8375,-0.14
105/A/NBP/2007,2007-05-31,2.8415,-0.18
104/A/NBP/2007,2007-05-30,2.8467,0.4
103/A/NBP/2007,2007-05-29,2.8353,0.29
102/A/NBP/2007,2007-05-28,2.827,-0.35
101/A/NBP/2007,2007-05-25,2.8369,0.37
100/A/NBP/2007,2007-05-24,2.8265,-0.02
99/A/NBP/2007,2007-05-23,2.827,0.89
98/A/NBP/2007,2007-05-22,2.802,0.24
97/A/NBP/2007,2007-05-21,2.7952,-0.46
96/A/NBP/2007,2007-05-18,2.8081,0.3
95/A/NBP/2007,2007-05-17,2.7996,0.69
94/A/NBP/2007,2007-05-16,2.7805,-0.33
93/A/NBP/2007,2007-05-15,2.7898,0.45
92/A/NBP/2007,2007-05-14,2.7773,-1.09
91/A/NBP/2007,2007-05-11,2.808,1.48
90/A/NBP/2007,2007-05-10,2.767,-0.42
89/A/NBP/2007,2007-05-09,2.7787,0.59
88/A/NBP/2007,2007-05-08,2.7624,0.27
87/A/NBP/2007,2007-05-07,2.7549,-0.24
86/A/NBP/2007,2007-05-04,2.7615,-0.5
85/A/NBP/2007,2007-05-02,2.7755,-0.37
84/A/NBP/2007,2007-04-30,2.7859,0.33
83/A/NBP/2007,2007-04-27,2.7767,0.36
82/A/NBP/2007,2007-04-26,2.7668,-0.26
81/A/NBP/2007,2007-04-25,2.7741,-0.66
80/A/NBP/2007,2007-04-24,2.7925,0.21
79/A/NBP/2007,2007-04-23,2.7866,-0.1
78/A/NBP/2007,2007-04-20,2.7894,-0.63
77/A/NBP/2007,2007-04-19,2.8071,0.24
76/A/NBP/2007,2007-04-18,2.8005,-0.84
75/A/NBP/2007,2007-04-17,2.8241,0.09
74/A/NBP/2007,2007-04-16,2.8217,-0.66
73/A/NBP/2007,2007-04-13,2.8405,-0.33
72/A/NBP/2007,2007-04-12,2.8499,-0.04
71/A/NBP/2007,2007-04-11,2.8509,-0.5
70/A/NBP/2007,2007-04-10,2.8653,0.08
69/A/NBP/2007,2007-04-06,2.8629,-0.41
68/A/NBP/2007,2007-04-05,2.8746,-0.35
67/A/NBP/2007,2007-04-04,2.8846,0.1
66/A/NBP/2007,2007-04-03,2.8817,-0.39
65/A/NBP/2007,2007-04-02,2.893,-0.44
64/A/NBP/2007,2007-03-30,2.9058,-0.06
63/A/NBP/2007,2007-03-29,2.9074,-0.31
62/A/NBP/2007,2007-03-28,2.9163,0.52
61/A/NBP/2007,2007-03-27,2.9011,-0.55
60/A/NBP/2007,2007-03-26,2.9171,0.22
59/A/NBP/2007,2007-03-23,2.9108,0.45
58/A/NBP/2007,2007-03-22,2.8977,-0.57
57/A/NBP/2007,2007-03-21,2.9143,-0.05
56/A/NBP/2007,2007-03-20,2.9158,-0.04
55/A/NBP/2007,2007-03-19,2.917,-0.55
54/A/NBP/2007,2007-03-16,2.933,-0.47
53/A/NBP/2007,2007-03-15,2.9469,-0.39
52/A/NBP/2007,2007-03-14,2.9583,0.21
51/A/NBP/2007,2007-03-13,2.9521,0.48
50/A/NBP/2007,2007-03-12,2.938,-0.43
49/A/NBP/2007,2007-03-09,2.9507,-0.18
48/A/NBP/2007,2007-03-08,2.9561,-0.57
47/A/NBP/2007,2007-03-07,2.9729,-0.1
46/A/NBP/2007,2007-03-06,2.9758,-0.21
45/A/NBP/2007,2007-03-05,2.9821,0.58
44/A/NBP/2007,2007-03-02,2.965,0.42
43/A/NBP/2007,2007-03-01,2.9525,-0.59
42/A/NBP/2007,2007-02-28,2.9699,0.27
41/A/NBP/2007,2007-02-27,2.962,0.16
40/A/NBP/2007,2007-02-26,2.9573,-0.16
39/A/NBP/2007,2007-02-23,2.962,-0.06
38/A/NBP/2007,2007-02-22,2.9637,0
37/A/NBP/2007,2007-02-21,2.9637,0.26
36/A/NBP/2007,2007-02-20,2.9559,-0.41
35/A/NBP/2007,2007-02-19,2.968,-0.3
34/A/NBP/2007,2007-02-16,2.9769,0.29
33/A/NBP/2007,2007-02-15,2.9683,-0.61
32/A/NBP/2007,2007-02-14,2.9864,-0.93
31/A/NBP/2007,2007-02-13,3.0145,0.18
30/A/NBP/2007,2007-02-12,3.009,0.63
29/A/NBP/2007,2007-02-09,2.9902,0.22
28/A/NBP/2007,2007-02-08,2.9835,0.32
